Country	Continent	Code	BMI	Year
Afghanistan	Asia	AFG	21.6	2017
Albania	Europe	ALB	26.1	2017
Algeria	Africa	DZA	26.2	2017
American Samoa	Oceania	ASM	25	2017
Andorra	Europe	AND	27.5	2017
Angola	Africa	AGO	24.1	2017
Argentina	South America	ARG	27.7	2017
Armenia	Europe	ARM	26.7	2017
Australia	Europe	AUS	27.2	2017
Austria	Europe	AUT	25.4	2017
Azerbaijan	Europe	AZE	27.4	2017
Bahamas	North America	BHS	28.8	2017
Bahrain	Asia	BHR	28.2	2017
Bangladesh	Asia	BGD	21	2017
Barbados	North America	BRB	28.7	2017
Belarus	Europe	BLR	26.6	2017
Belgium	Europe	BEL	25.5	2017
Belize	North America	BLZ	28.9	2017
Benin	Africa	BEN	23.4	2017
Bermuda	North America	BMU	22	2017
Bhutan	Asia	BTN	23.8	2017
Bolivia	South America	BOL	25.9	2017
Bosnia and Herzegovina	Europe	BIH	26.1	2017
Botswana	Africa	BWA	24.7	2017
Brazil	South America	BRA	25.9	2017
Brunei	Asia	BRN	26.2	2017
Bulgaria	Europe	BGR	26	2017
Burkina Faso	Africa	BFA	22.1	2017
Burundi	Africa	BDI	20.9	2017
Cambodia	Asia	KHM	21.9	2017
Cameroon	Africa	CMR	24.4	2017
Canada	North America	CAN	27.2	2017
Cape Verde	Africa	CPV	24.7	2017
Central African Republic	Africa	CAF	22.4	2017
Chad	Africa	TCD	22.3	2017
Chile	South America	CHL	27.8	2017
China	Asia	CHN	23.9	2017
Colombia	South America	COL	25.9	2017
Comoros	Africa	COM	24.1	2017
Congo	Africa	COG	23.3	2017
Costa Rica	North America	CRI	26.9	2017
Cote d'Ivoire	Africa	CIV	26	2017
Croatia	Europe	HRV	25.5	2017
Cuba	North America	CUB	26.2	2017
Cyprus	Europe	CYP	27	2017
Denmark	Europe	DNK	25.3	2017
Djibouti	Africa	DJI	23.3	2017
Dominica	North America	DMA	27	2017
Dominican Republic	North America	DOM	26.7	2017
Ecuador	South America	ECU	27	2017
Egypt	Africa	EGY	29.2	2017
El Salvador	North America	SLV	27.4	2017
Equatorial Guinea	Africa	GNQ	25.6	2017
Eritrea	Africa	ERI	20.5	2017
Estonia	Oceania	EST	25.5	2017
Ethiopia	Africa	ETH	20.6	2017
Fiji	Oceania	FJI	27.2	2017
Finland	Europe	FIN	25.9	2017
France	Europe	FRA	25.3	2017
Gabon	Africa	GAB	25.5	2017
Gambia	Africa	GMB	24	2017
Georgia	Europe	GEO	27.2	2017
Germany	Europe	DEU	26.3	2017
Ghana	Africa	GHA	24.2	2017
Greece	Europe	GRC	27.3	2017
Greenland	North America	GRL		2017
Grenada	Europe	GRD	27	2017
Guam	Oceania	GUM		2017
Guatemala	North America	GTM	26.5	2017
Guinea	Africa	GIN	22.7	2017
Guinea-Bissau	Africa	GNB	23.1	2017
Guyana	South America	GUY	26.3	2017
Haiti	North America	HTI	24.1	2017
Honduras	North America	HND	26.4	2017
Hungary	Europe	HUN	26.3	2017
Iceland	Europe	ISL	25.9	2017
India	Asia	IND	21.9	2017
Indonesia	Asia	IDN	22.9	2017
Iran	Asia	IRN	26.2	2017
Iraq	Asia	IRQ	28	2017
Ireland	Europe	IRL	27.5	2017
Israel	Asia	ISR	26.3	2017
Italy	Europe	ITA	26	2017
Jamaica	North America	JAM	27.4	2017
Japan	Asia	JPN	22.6	2017
Jordan	Asia	JOR	28.9	2017
Kazakhstan	Asia	KAZ	27.4	2017
Kenya	Africa	KEN	23	2017
Kiribati	Oceania	KIR	29.6	2017
Kuwait	Asia	KWT	30	2017
Kyrgyzstan	Asia	KGZ	26.2	2017
Laos	Asia	LAO	22.6	2017
Latvia	Europe	LVA	25.8	2017
Lebanon	Asia	LBN	27.8	2017
Lesotho	Africa	LSO	24.9	2017
Liberia	Africa	LBR	24	2017
Libya	Africa	LBY	28.4	2017
Lithuania	Europe	LTU	26.6	2017
Luxembourg	Europe	LUX	26.5	2017
Madagascar	Africa	MDG	21.1	2017
Malawi	Africa	MWI	22.8	2017
Malaysia	Asia	MYS	25.3	2017
Maldives	Asia	MDV	25.1	2017
Mali	Africa	MLI	22.8	2017
Malta	Europe	MLT	27.2	2017
Marshall Islands	Oceania	MHL	29.2	2017
Mauritania	Africa	MRT	24.8	2017
Mauritius	Africa	MUS	25.6	2017
Mexico	North America	MEX	28.1	2017
Micronesia	Oceania	FSM	29.4	2017
Moldova	Asia	MDA	26.7	2017
Mongolia	Asia	MNG	26	2017
Montenegro	Europe	MNE	26	2017
Morocco	Africa	MAR	25.6	2017
Mozambique	Africa	MOZ	22.3	2017
Myanmar	Asia	MMR	22.6	2017
Namibia	Africa	NAM	24.3	2017
Nepal	Asia	NPL	22.2	2017
Netherlands	Europe	NLD	25.4	2017
New Zealand	Oceania	NZL	27.9	2017
Nicaragua	North America	NIC	26.9	2017
Niger	Africa	NER	21.7	2017
Nigeria	Africa	NGA	23.4	2017
North Korea	Asia	PRK	21.8	2017
North Macedonia	Europe	MKD	25.8	2017
Northern Mariana Islands	Oceania	MNP		2017
Norway	Europe	NOR	26	2017
Oman	Asia	OMN	26.9	2017
Pakistan	Asia	PAK	23.8	2017
Palestine	Asia	PSE	29.4	2017
Panama	North America	PAN	27.1	2017
Papua New Guinea	Oceania	PNG	25.3	2017
Paraguay	South America	PRY	25.8	2017
Peru	South America	PER	26.3	2017
Philippines	Asia	PHL	23.2	2017
Poland	Europe	POL	26.4	2017
Portugal	Europe	PRT	26.2	2017
Puerto Rico	North America	PRI	29.2	2017
Qatar	Asia	QAT	25.3	2017
Romania	Europe	ROU	26.5	2017
Russia	Europe	RUS	22	2017
Rwanda	Africa	RWA	29.7	2017
Saint Lucia	North America	LCA	29.6	2017
Saint Vincent and the Grenadines	North America	VCT	27.3	2017
Samoa	Oceania	WSM	31.7	2017
Sao Tome and Principe	Africa	STP	24.8	2017
Saudi Arabia	Asia	SAU	28.5	2017
Senegal	Africa	SEN	23	2017
Serbia	Europe	SRB	25.8	2017
Seychelles	Africa	SYC	26.8	2017
Sierra Leone	Africa	SLE	22.8	2017
Singapore	Asia	SGP	23.7	2017
Slovakia	Europe	SVK	26.5	2017
Slovenia	Europe	SVN	26.9	2017
Solomon Islands	Europe	SLB	25.5	2017
Somalia	Africa	SOM	21.9	2017
South Africa	Africa	ZAF	27.3	2017
South Korea	Asia	KOR	23.9	2017
Spain	Europe	ESP	26.7	2017
Sri Lanka	Asia	LKA	23	2017
Sudan	Africa	SDN	25.2	2017
Suriname	South America	SUR	27.4	2017
Sweden	Europe	SWE	25.8	2017
Switzerland	Europe	CHE	25.3	2017
Syria	Asia	SYR	28.1	2017
Taiwan	Asia	TWN	30	2017
Tajikistan	Asia	TJK	25.4	2017
Tanzania	Africa	TZA	23.1	2017
Thailand	Asia	THA	24.1	2017
Togo	Africa	TGO	23.2	2017
Tonga	Oceania	TON	31.9	2017
Trinidad and Tobago	North America	TTO	28.7	2017
Tunisia	Africa	TUN	26.8	2017
Turkey	Asia	TUR	27.8	2017
Turkmenistan	Asia	TKM	26.4	2017
Uganda	Africa	UGA	29.3	2017
Ukraine	Europe	UKR	26	2017
United Arab Emirates	Asia	ARE	29	2017
United Kingdom	Europe	GBR	27.3	2017
United States	North America	USA	28.5	2017
Uruguay	South America	URY	26.8	2017
Uzbekistan	Asia	UZB	26.1	2017
Vanuatu	Oceania	VUT	26.2	2017
Venezuela	South America	VEN	27.2	2017
Vietnam	Asia	VNM	21.6	2017
Yemen	Asia	YEM	25.8	2017
Zambia	Africa	ZMB	22.6	2017
Zimbabwe	Africa	ZWE	23.4	2017